type,id,name
survivor,lightweight,身軽
survivor,plunderers_instinct,コソ泥の本能
survivor,small_game,小さな獲物
survivor,slippery_meat,ツルツルとした肉体
survivor,dejavu,デジャヴ
survivor,resilience,逆境魂
survivor,this_is_not_happening,痛みも気から
survivor,kindred,血族
survivor,we_ll_make_it,きっとやり遂げる
survivor,hope,希望
survivor,no_one_left_behind,誰も見捨てはしない
survivor,premonition,予感
survivor,spine_chill,凍りつく背筋
survivor,sole_survivor,唯一の生存者
survivor,object_of_obsession,執念の対象
survivor,decisive_strike,決死の一撃
survivor,dark_sense,闇の感覚
survivor,situational_awareness,一緒にいよう（状況認識）
survivor,self_aware,執着心（自己認識）
survivor,inner_healing,内なる力（内なる回復）
survivor,guardian,ベビーシッター（監視者）
survivor,kinship,仲間意識（親近感）
survivor,renewal,セカンドウィンド（リニューアル）
survivor,leader,リーダー
survivor,prove_thyself,有能の証明
survivor,bond,絆
survivor,adrenaline,アドレナリン
survivor,sprint_burst,全力疾走
survivor,quick_and_quiet,素早く静かに
survivor,saboteur,サボタージュ
survivor,iron_will,鋼の意志
survivor,calm_spirit,魂の平穏
survivor,self_care,セルフケア
survivor,empathy,共感
survivor,botany_knowledge,植物学の知識
survivor,balanced_landing,スマートな着地
survivor,urban_evasion,都会の逃走術
survivor,streetwise,都会の生存術
survivor,open_handed,手札公開
survivor,up_the_ante,賭け金のレイズ
survivor,ace_in_the_hole,最後の切り札
survivor,left_behind,置き去りにされた者
survivor,borrowed_time,与えられた猶予
survivor,unbreakable,不滅
survivor,technician,テクニシャン
survivor,lithe,しなやか
survivor,alert,警戒
survivor,were_gonna_live_forever,ずっと一緒だ
survivor,dead_hard,デッド・ハード
survivor,no_mither,弱音はナシだ
survivor,wake_up,目を覚ませ！
survivor,pharmacy,調剤学
survivor,vigil,寝ずの番
survivor,tenacity,執念
survivor,detectives_hunch,刑事の直感
survivor,stake_out,張り込み
survivor,dance_with_me,ダンス・ウィズ・ミー
survivor,windows_of_opportunity,ウィンドウズ・オブ・オポチュニティ
survivor,boil_over,ボイルオーバー
survivor,diversion,陽動
survivor,deliverance,解放
survivor,autodidact,独学者
survivor,breakdown,ブレイクダウン
survivor,aftercare,アフターケア
survivor,distortion,ディストーション
survivor,solidarity,連帯感
survivor,poised,平常心
survivor,head_on,真っ向勝負
survivor,flip_flop,フリップ・フロップ
survivor,buckle_up,ベルトを締めろ！
survivor,mettle_of_man,英雄の奮起
survivor,lucky_break,怪我の功名
survivor,breakout,突破
survivor,off_the_record,オフレコ
survivor,red_herring,おとり
survivor,for_the_people,人々のために
survivor,soul_guard,ソウルガード
survivor,blood_pact,血の協定
survivor,repressed_alliance,抑圧の同盟
survivor,visionary,透視家
survivor,desperate_measures,苦肉の策
survivor,built_to_last,耐久設計
survivor,appraisal,査定
survivor,deception,欺き
survivor,power_struggle,勢力争い
survivor,fast_track,出世街道
survivor,smash_hit,大ヒット
survivor,self_preservation,自己防衛
survivor,counterforce,カウンターフォース
survivor,resurgence,起死回生
survivor,blast_mine,地雷爆破
survivor,bite_the_bullet,忍苦の時
survivor,flashbang,スタングレネード
survivor,rookie_spirit,新人魂
survivor,clairvoyance,千里眼
survivor,boon_circle_of_healing,恵み：癒しの輪
survivor,boon_shadow_step,恵み：シャドウステップ
survivor,overcome,打開策
survivor,corrective_action,是正措置
survivor,boon_exponential,恵み：指数関数
survivor,parental_guidance,父の助言
survivor,empathic_connection,共感的つながり
survivor,boon_dark_theory,恵み：霊界理論
survivor,inner_focus,インナーフォーカス
survivor,residual_manifest,残像の顕現
survivor,overzealous,過剰な熱意
survivor,wiretap,盗聴
survivor,reactive_healing,反射回復
survivor,low_profile,雲隠れ
survivor,better_than_new,みなぎる活力
survivor,reassurance,安心感
survivor,hyperfocus,全集中
survivor,potential_energy,位置エネルギー
survivor,fogwise,霧の作法
survivor,quick_gambit,加速の策略
survivor,friendly_competition,切磋琢磨
survivor,teamwork_power_of_two,チームワーク：二人の力
survivor,cut_loose,逃亡の飛躍
survivor,blood_rush,血の騒ぎ
survivor,teamwork_collective_stealth,チームワーク：共同ステルス
survivor,background_player,影の実力者
survivor,any_means_necessary,強硬手段
survivor,troubleshooter,修理担当者
survivor,made_for_this,状況適応能力
survivor,scavenger,ゴミ漁りの名人
survivor,dramaturgy,劇作法
survivor,scene_partner,シーンの相手役
survivor,plot_twist,予想外の展開
survivor,chemical_trap,科学的な罠
survivor,light_footed,忍び足
survivor,lucky_star,幸運の星
survivor,boon_illumination,イルミネーション
survivor,champion_of_light,光の闘士
survivor,deadline,締め切り
